sector,final_demand_domestic,exports,imports_raw,imports,unskilled_labor,skilled_labor,productivity,INE_sector,shock_pct,covid_productivity,nominal_input,covid_input,delta
Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,utilities,0.7228790696355432,0.0,0.0,0.0,
GasB,47.43952,122.0018700000019,0.0,0.0,1.83208,1.15768,169.4413900000019,utilities,0.7228790696355432,122.48563436095459,339.12806955353767,248.0645432437094,-0.27
GasP,15.56889,40.03783000000056,0.0,0.0,0.61095,0.5986899999999999,55.606720000000564,utilities,0.7228790696355432,40.19693401908456,111.29517860267276,81.40991979110674,-0.27
HydB,47.7101,122.6974899999997,0.0,0.0,2.79367,1.7653,170.4075899999997,utilities,0.7228790696355432,123.18408011803486,341.0619527821393,249.4791202954409,-0.27
HydP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,utilities,0.7228790696355432,0.0,0.0,0.0,
Nucl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,utilities,0.7228790696355432,0.0,0.0,0.0,
OilB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,utilities,0.7228790696355432,0.0,0.0,0.0,
OilP,7.94591,20.43330999999981,0.0,0.0,0.26322,0.25794,28.379219999999812,utilities,0.7228790696355432,20.514744150582263,56.80102123011219,41.548672781981885,-0.27
OthB,7.82499,20.12254999999982,0.0,0.0,0.78272,0.4946,27.94753999999982,utilities,0.7228790696355432,20.202691713801997,55.93677168824384,40.91650047540178,-0.27
SolP,0.18236,0.4683500000000002,0.0,0.0,0.0103,0.00663,0.6507100000000002,utilities,0.7228790696355432,0.47038463940254444,1.3030350765840086,0.9531361566252371,-0.27
TnD,33.67225,86.59537999999961,0.0,0.0,8.86382,8.239469999999999,120.2676299999996,utilities,0.7228790696355432,86.93895248167145,240.71012844074477,176.0740456644931,-0.27
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,utilities,0.7228790696355432,0.0,0.0,0.0,
atp,173.27074000000002,485.6084500000025,96.3,96.3,30.67142,67.65682,562.5791900000025,transportation,0.4715520870813227,265.28539119302116,1124.7415472889516,652.4598045362773,-0.42
b_t,445.6903800000001,921.0174499999864,6.58,6.58,26.18756,52.01389,1360.1278299999867,manufacturing,0.6706612229979889,912.1849939013919,2493.25052933754,1716.7171044058427,-0.31
c_b,8.615379999999998,150.010250000001,0.012,0.012,16.66937,0.68814,158.613630000001,ag,1.0234981102630372,162.3407505669616,556.2193710458872,536.8075104438162,-0.03
cmn,376.07825999999994,753.0850599999928,104.0,104.0,24.24107,53.47237,1025.1633199999928,communications,0.9864545740514745,1011.2770461637884,1767.0960798451213,1561.2674670732629,-0.12
cmt,690.1043,821.1906899999836,13.6,13.6,10.22248,20.30395,1497.6949899999836,ag,1.0234981102630372,1532.8879920154016,1814.7298155599126,1773.6011896454088,-0.02
cns,2325.27201,2374.984399999978,1.93,1.93,377.33017,75.70725,4698.326409999978,construction,0.4808952596488134,2259.4028988518166,4803.052929921343,2321.469432144788,-0.52
coa,0.00926,3.899790000000023,3.28,3.28,0.07134,0.09577000000000001,0.629050000000023,energy,0.4737363659546029,0.2980038610037538,2.9567011862490826,1.6882419803667097,-0.43
crp,155.34166000000002,755.9251099999866,0.0,0.0,22.63247,44.95274000000001,911.2667699999866,manufacturing,0.6706612229979889,611.1512864456181,1802.1374827195314,1169.5737366387534,-0.35
ctl,56.75327,321.9838700000018,0.193,0.193,81.76031,3.37521,378.5441400000018,ag,1.0234981102630372,387.4392119411484,963.9882390314929,959.2766924095702,-0.0
dwe,869.7704799999999,869.7743300000004,0.0,0.0,22.56711,52.26753,1739.5448100000003,construction,0.4808952596488134,836.5388530756959,1739.5548030770033,836.5466349864008,-0.52
ele,27.930379999999996,32.57724999999974,3.23,3.23,0.0567,0.11263,57.27762999999974,manufacturing,0.6706612229979889,38.41388538622613,65.61700385523433,45.084542936815424,-0.31
fmp,2.25163,20.80381999999974,1.06,1.06,0.09701,0.19267,21.99544999999974,manufacturing,0.6706612229979889,14.75149539739094,45.94856215878759,29.743338827924163,-0.35
frs,19.759259999999998,356.7104300000028,0.742,0.742,18.34451,0.7573,375.7276900000028,ag,1.0234981102630372,384.5565806884991,1064.7090377898173,780.2111084802651,-0.27
fsh,12.58507,40.0720999999998,0.055,0.055,0.12121,0.006409999999999999,52.6021699999998,ag,1.0234981102630372,53.838221590734825,114.38258800406138,99.81300173529533,-0.13
gas,0.02664,843.0369199999942,7033.0,843.0635599999943,35.67902,47.89343,0.0,energy,0.4737363659546029,0.0,303.9558224945605,202.74783176475734,-0.33
gdt,5.52577,91.88365999999976,58.5,58.5,5.13264,4.23984,38.90942999999976,utilities,0.7228790696355432,28.126812558449117,239.26189861925445,157.56752541794822,-0.34
gro,285.2938,396.4104800000023,190.0,190.0,98.7823,4.07791,491.7042800000022,ag,1.0234981102630372,503.2584013882495,674.2980222631113,660.5062518198499,-0.02
i_s,0.00235,106.6301900000014,13.9,13.9,0.685,1.36055,92.7325400000014,mining,0.04103584468537602,3.805358108720477,266.9581841102354,92.49150271125995,-0.65
isr,300.42038,427.3179800000024,0.0,0.0,96.66715,159.0806,727.7383600000024,finance,0.8528376837800636,620.6426973403042,849.9549373726038,717.8063665571896,-0.16
lea,115.97733,283.1770500000034,70.4,70.4,16.66874,33.10755,328.7543800000034,manufacturing,0.6706612229979889,220.48281455674785,562.0774914923247,396.5894017441449,-0.29
lum,256.47519,729.3413499999876,77.1,77.1,29.57225,58.73656,908.7165399999876,manufacturing,0.6706612229979889,609.4409460748926,1727.2016669814636,1102.5350402554773,-0.36
mil,328.04413,396.5360300000039,52.1,52.1,19.8921,39.5098,672.4801600000038,ag,1.0234981102630372,688.2821729493888,802.2328558479596,790.3591802215176,-0.01
mvh,25.914759999999998,32.4416999999997,2.34,2.34,0.1008,0.20021,56.0164599999997,manufacturing,0.6706612229979889,37.568067571617725,65.36940013166068,43.73290640538761,-0.33
nfm,0.00972,1007.930119999989,1806.0,1007.939839999989,4.18878,8.31977,0.0,mining,0.04103584468537602,0.0,70.88785663030379,43.844389481306195,-0.38
nmm,32.66103,743.1467099999925,12.2,12.2,59.08150999999999,117.34801,763.6077399999924,mining,0.04103584468537602,31.335288619190685,2269.547481266154,844.4860688433746,-0.63
oap,125.58775,616.7712399999907,2.83,2.83,142.50352,5.8828,739.5289899999907,ag,1.0234981102630372,756.906523749723,1814.5772517166213,1810.1501675038176,-0.0
