INE_sector,initial_labor,final_labor,output_shock,input_shock,fa,di
ag,1400.4695399999998,1386.9525323999999,2.3498110263037146,-2.7208592997033536,0.009651768363344727,1.0
commerce,932.65049,615.5493233999999,-44.59972115534647,-33.56159396868233,0.3400000000000001,1.0
communications,77.71343999999999,68.38782719999999,-1.3545425948525442,-11.647845022094012,0.12000000000000004,1.0
construction,527.87206,253.37858880000002,-51.91047403511866,-51.73153892134791,0.52,1.0
energy,208.09873,124.56572610000002,-52.6263634045397,-43.6213808839298,0.4014104454169421,1.0
finance,705.07519,583.2766108000001,-14.716231621993636,-17.362483971163886,0.17274551838932234,1.0
manufacturing,455.12223,310.5855186,-32.93387770020111,-32.29822271244954,0.31757778871842846,1.0
mining,799.04704,152.7984105,-95.8964155314624,-78.39504277236982,0.8087741987004922,1.0
other_services,119.78374,74.2659188,-37.55154084998613,-37.51786433939837,0.38,1.0
professional_services,362.45835999999997,260.97001919999997,-31.910397191052468,-28.423589320199426,0.28,1.0
public_services,2993.91871,2844.2227745,-2.7298562407808897,-5.204203411519057,0.04999999999999997,1.0
transportation,984.82403,553.9192323000001,-52.84479129186774,-43.836161426244104,0.4375449669927326,1.0
utilities,71.35792000000001,51.435208,-27.712093036445687,-27.843172035093783,0.279194124492418,1.0
