INE_sector,initial_labor,final_labor,output_shock,input_shock,fa,di
ag,1400.4695399999998,1411.3565415999997,2.9671525040529483,-0.41341107895932905,-0.007773822485278652,1.0
commerce,932.65049,699.4878675,-36.402985283629256,-24.614084015632862,0.25,1.0
communications,77.71343999999999,74.60490239999999,5.125110949327324,-3.6090216600456704,0.04000000000000007,1.0
construction,527.87206,337.8381184,-36.43324626637932,-36.28672298710683,0.36000000000000004,1.0
energy,208.09873,166.02139599999998,-19.132825150075092,-21.71412397226281,0.20219889857088513,1.0
finance,705.07519,649.2908554,-5.296631893224511,-7.804682516927448,0.07911827758398358,1.0
manufacturing,455.12223,381.7000292,-14.250259647171458,-16.740848926146793,0.1613241365951296,1.0
mining,799.04704,292.7230308,-76.80442025250608,-60.7323998294066,0.6336598270860249,1.0
other_services,119.78374,100.6183416,-15.763546969898961,-15.761119169822551,0.16,1.0
professional_services,362.45835999999997,300.84043879999996,-21.68260856938617,-16.81412871778252,0.17000000000000004,1.0
public_services,2993.91871,3053.7970842,4.656706726881396,2.445135893612191,-0.020000000000000018,1.0
transportation,984.82403,652.8265265,-42.91330886244535,-33.37460313390384,0.33711352829195285,1.0
utilities,71.35792000000001,59.378304,-16.149793217237235,-16.62150370355605,0.16788067813635832,1.0
