sector,labor_input_EH_initial,labor_input_EH_final,labor_input_GTAP,total_output_GTAP,final_demand_GTAP,labor_frac_value_added,value_added_EH_initial,value_added_EH_final,total_output_EH_initial,total_output_EH_final
pdr,15.329377711209926,13.734488622921008,41.10306,156.7289200000009,0.14819000000088545,0.0036053276812209466,0.055267429798116545,0.049517332019631266,-33.46664000659278,-28.97936096573689
wht,2.7330618602269494,2.4487104259670307,7.3282300000000005,59.34789000000092,0.06872000000088287,0.009377434933248937,0.025629109762822518,0.022962622689874118,-5.319365347060849,-4.606579467140949
gro,38.36169400877629,34.37049173458778,102.86021000000001,396.4104800000023,125.26517000000234,1.217819504743402,46.71761919888587,41.85705522200288,28.859908409562955,28.780835802817965
v_f,144.89728244352773,129.8219741664731,388.51686,1296.341039999994,678.0709399999942,1.7452806037812467,252.88641658930192,226.57577345733557,176.33681874905625,166.70403156436777
osd,88.99018034959276,79.73152221759048,238.61169,954.0868199999921,-148.78229000000772,-0.6235331135704529,-55.48832423057771,-49.71524429804594,-84.77767835517074,-75.66926397321173
c_b,6.473479758346542,5.799970211882951,17.35751,150.010250000001,8.608920000000921,0.49597666946474006,3.2106949303921284,2.876649908684409,-20.991550103314438,-16.630050089798438
pfb,0.5373386024971629,0.48143317111018324,1.44078,10.60891999999993,2.6628199999999342,1.8481794583489044,0.9930981673131638,0.8897748974136139,-1.6848671092697098,-0.8557381773599344
ocr,35.634200288956116,31.926770132205665,95.54691,297.4902400000016,211.3024600000016,2.211504903716945,78.80520867905823,70.60620870721652,68.37142976223579,62.22372023323348
ctl,31.751274545502618,28.447829208980156,85.13552,321.9838700000018,56.65809000000199,0.6655047153056913,21.130622926997564,18.932164478787268,-60.24965473784809,-53.93565259301379
oap,55.34064730111246,49.5829318750749,148.38632,616.7712399999907,124.24521999999068,0.8373091266094521,46.337229057696206,41.516241383054926,-105.68120171167712,-94.65508989648347
rmk,9.753095810451201,8.738370596018656,26.15123,115.0022500000012,0.4943400000012115,0.018903126162754542,0.1843640005823918,0.16518252183344526,-28.351097298710407,-24.90326763019296
wol,1.311679339334681,1.1752104555319751,3.5170399999999997,24.47900999999978,11.185669999999782,3.180421604531021,4.171693309036996,3.7376647226446367,3.283902847887504,3.02332900854163
frs,7.124016081960002,6.382823860856071,19.10181,356.7104300000028,20.285800000002855,1.0619831314416202,7.5655849071603445,6.778451271192222,-119.41688205080179,-48.98589444175252
fsh,0.047595852559507996,0.042643916001805685,0.12762,40.0720999999998,12.5627199999998,98.43848926500391,4.685263821237837,4.1978026675614775,-2.8392196284206253,0.17595853636892977
coa,0.028618689110168075,0.017597579831058942,0.16711,3.899790000000023,-0.5171899999999781,-3.0949075459277005,-0.08857219688161809,-0.05446288260920943,-0.13946527975881257,-0.09659537400747732
oil,20.6175383118955,12.677686771983891,120.38974999999999,1611.642749999994,-335.17088000000626,-2.7840483097606423,-57.400222688657955,-35.29529242921661,-142.97533655761842,-87.91983373189703
gas,14.312332982616635,8.800627494178576,83.57245,843.0369199999942,-6312.493250000006,-75.53318408159633,-1081.056081813085,-664.7394165513482,-1067.385324589499,-656.3308192198077
omn,133.0045807889357,23.394759279345035,608.06342,3627.745659999987,0.0,0.0,133.0045807889357,23.394759279345035,86.30424106632097,-11.773305296087305
cmt,11.38482574399108,10.200333151191042,30.526429999999998,821.1906899999836,678.3632899999836,22.222162565356765,252.99544846122856,226.6734615065652,218.48582231558265,205.81205865199485
omt,10.197577373532392,9.13660769906639,27.34303,740.1369999999845,616.7386699999845,22.555608138526875,230.01255919970473,206.08174297558918,199.87620481462739,187.5442630203255
vol,5.063628845048224,4.536802085067828,13.57724,1319.197199999976,47.71923999997625,3.5146495163948086,17.796880671451543,15.945269254262602,8.032674882536517,7.736702443311875
mil,22.153926298030385,19.849001989873535,59.4019,396.5360300000039,291.1728800000039,4.901743546923649,108.59286527039256,97.29471741673727,95.51907160848545,88.98737639960233
pcr,1.2780989399892955,1.1451238061290396,3.4269999999999996,139.5723200000023,116.29930000000228,33.936183250657216,43.37379983994747,38.861131329485154,37.28028139814628,34.38918459097927
sgr,13.954830225299816,12.50295090739511,37.41745,292.8026200000042,204.82979000000418,5.474178224331272,76.39122774357611,68.44338159714523,54.277925834594264,52.35783683063684
ofd,19.98701341179584,17.907537636686804,53.5917,769.5935799999867,458.8019899999865,8.561064306599464,171.11010711525014,153.3075812805259,123.64433555258817,118.25861117089454
b_t,70.45492851400078,43.34409290879492,78.20145000000001,921.0174499999864,479.84362999998655,6.135994025686052,432.31102044204664,265.9590951371468,316.8060413010461,206.32644026483416
tex,17.00161222959418,10.459445146302201,18.870939999999997,108.1444800000024,57.146340000002425,3.0282720415624462,51.48550697636622,31.674045306802984,41.786442066087524,25.215163860856695
wap,63.24254977131235,38.90701489438202,70.19606999999999,398.1065899999925,169.1061999999925,2.4090550938249464,152.3547866730577,93.72914241683407,105.12313522341717,62.24264328380123
lea,44.845523371269614,27.589106575582928,49.77629,283.1770500000034,102.95909000000339,2.0684363981325924,92.76011283443991,57.06631223289497,63.376337065238545,37.50882332512464
lum,79.56106818615866,48.9462185842477,88.30881,729.3413499999876,283.6893599999878,3.212469514649646,255.5875061009965,157.2382350592737,93.61295050082404,79.30008155555863
ppp,40.63256794564368,24.99728318947794,45.10012,384.9241199999911,60.396389999991165,1.33916251220598,54.41361176746837,33.475424554345594,0.2800107243300758,-3.0743171522508916
p_c,0.6797893419166019,0.4180012287295911,3.96942,2456.712769999981,767.7974399999807,193.42811796181326,131.49037301742788,80.85319097889024,-165.19169433852537,-53.53037423288389
crp,60.89031775182855,37.45991438138828,67.58521000000002,755.9251099999866,0.0,0.0,60.89031775182855,37.45991438138828,-27.734039227180173,-6.621941424913597
nmm,38.59126132993356,6.787986276448582,176.42952,743.1467099999925,29.344549999992683,0.1663244903686905,6.418671873386152,1.1290083580599755,-437.4704643707941,-157.18363625952063
i_s,0.44743280270470376,0.0787009188019635,2.04555,106.6301900000014,1.315650000001419,0.6431766517569452,0.2877783319298372,0.0506185934452421,-19.801608831127155,-5.171216750172914
nfm,2.736054158672202,0.481256570545966,12.50855,1007.930119999989,-832.0841900000107,-66.52123467548283,-182.00570077386428,-32.01378126840626,-198.81042279282548,-39.59433567666922
fmp,0.26098472204717105,0.16055861923045817,0.28968,20.80381999999974,7.151879999999739,24.68889809444815,6.443425206830481,3.9640153883660845,2.9147612717227984,2.3360235100522924
mvh,0.27119238878562196,0.16683840781055032,0.30101,32.4416999999997,26.1009699999997,86.71130527224909,23.515446011500526,14.466776110796616,22.65856781213773,14.031382025198553
otn,0.30487935360596635,0.11881521706854332,0.52639,22.30334999999975,10.880379999999754,20.669807557133975,6.301797567178725,2.4558876716658906,4.025401358814008,0.9280063426519173
ele,0.1525564173717463,0.0938531862548104,0.16932999999999998,32.57724999999974,25.525229999999734,150.7425146164279,22.996737975490344,14.147665300814088,22.13410051321122,13.544794367209308
ome,1.4052524511885374,0.8645157136526491,1.5597599999999998,95.21567000000184,62.499320000001845,40.06983125609187,56.308228591334164,34.640998764301486,51.66692178898869,31.945463108869838
omf,31.31993249092155,19.268120661195756,34.76356,199.2767200000027,103.42334000000274,2.975050311303064,93.17837490710711,57.323628371315436,83.37559628893145,49.44364072568502
TnD,3.689032196788627,2.9065145834838835,17.10329,86.59537999999961,0.0,0.0,3.689032196788627,2.9065145834838835,-4.762362369305357,-2.8326956589880847
Nucl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GasB,0.6448654557497864,0.5080765771449104,2.98976,122.0018700000019,0.0,0.0,0.6448654557497864,0.5080765771449104,-11.261958250790414,-7.57766256699794
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HydB,0.98333052378773,0.7747464254342598,4.55897,122.6974899999997,0.0,0.0,0.98333052378773,0.7747464254342598,-10.991404281220609,-7.357110234063877
OilB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
