INE_sector,value_added_EH_initial,value_added_EH_final,labor_input_EH_initial
ag,1311.5532561981968,1456.2722701762689,522.304824791741
commerce,981.791054123118,1041.8355362915938,776.2253959041362
communications,122.1966890385062,122.1966890385062,27.729895365840186
construction,2568.723717680716,2568.723717680716,424.39528791373283
energy,-1007.0545036811964,-1007.0545036811964,35.638279325538896
finance,183.34326567317504,183.34326567317504,189.61902368688152
manufacturing,1302.2450752384664,1302.2450752384664,410.0384862401224
mining,-42.29466977961255,-42.29466977961255,174.77932908024613
other_services,86.81411679813256,86.81411679813256,214.64403357375585
professional_services,106.25651667694669,106.25651667694669,432.6878493037599
public_services,1344.698376277888,1326.593529705326,780.1481441422919
transportation,1130.6299515323208,1130.6299515323208,570.3993496875373
unclassified,,,18.205898917190833
unemployed,,,3.130601324951378
utilities,19.00279868931879,19.00279868931879,15.39128813087231
