INE_sector,value_added_EH_initial,value_added_EH_final,labor_input_EH_initial
ag,1311.5532561981968,1345.341163585153,522.304824791741
commerce,981.7910541231181,998.4639097960612,776.2253959041363
communications,122.1966890385062,122.1966890385062,27.729895365840186
construction,2568.723717680717,2568.723717680717,424.39528791373294
energy,-1007.0545036811968,-1007.0545036811968,35.6382793255389
finance,183.34326567317504,183.34326567317504,189.61902368688152
manufacturing,1302.2450752384664,1302.2450752384664,410.03848624012244
mining,-42.294669779612576,-42.294669779612576,174.77932908024619
other_services,86.81411679813259,86.81411679813259,214.64403357375593
professional_services,106.2565166769467,106.2565166769467,432.68784930376
public_services,1344.6983762778882,1344.6983762778882,780.148144142292
transportation,1130.6299515323208,1130.6299515323208,570.3993496875373
unclassified,,,18.205898917190837
unemployed,,,3.1306013249513787
utilities,19.00279868931879,19.00279868931879,15.391288130872312
